rel_path,subject,ext,state,output_ref,tool,note,updated_at
2026年新高考资料/一轮复习/2026年大一轮复习讲义数学课件讲义练习/基础版/Word版题库/第一章 集合与常用逻辑用语、不等式/第3节 不等式及其性质.DOCX,MATH,.docx,PENDING,,init,,2026-09-18 01:39:25
2026年新高考资料/一轮复习/2026年大一轮复习讲义数学课件讲义练习/基础版/Word版题库/第一章 集合与常用逻辑用语、不等式/第4节 基本不等式.DOCX,MATH,.docx,PENDING,,init,,2026-09-18 01:39:25
2026年新高考资料/一轮复习/2026年大一轮复习讲义数学课件讲义练习/基础版/Word版题库/第一章 集合与常用逻辑用语、不等式/第5节 一元二次方程、不等式.DOCX,MATH,.docx,PENDING,,init,,2026-09-18 01:39:25
2026年新高考资料/一轮复习/2026年大一轮复习讲义数学课件讲义练习/基础版/Word版题库/第七章　立体几何与空间向量/多选题加练(七)　立体几何与空间向量.DOCX,MATH,.docx,PENDING,,init,,2026-09-18 01:39:25
2026年新高考资料/一轮复习/2026年大一轮复习讲义数学课件讲义练习/基础版/Word版题库/第七章　立体几何与空间向量/第1节　基本立体图形及几何体的表面积与体积.docx,MATH,.docx,PENDING,,init,,2026-09-18 01:39:25
2026年新高考资料/一轮复习/2026年大一轮复习讲义数学课件讲义练习/基础版/Word版题库/第七章　立体几何与空间向量/第2节　与球有关的切、接问题.docx,MATH,.docx,PENDING,,init,,2026-09-18 01:39:25
2026年新高考资料/一轮复习/2026年大一轮复习讲义数学课件讲义练习/基础版/Word版题库/第七章　立体几何与空间向量/第3节　空间点、直线、平面之间的位置关系.docx,MATH,.docx,PENDING,,init,,2026-09-18 01:39:25
2026年新高考资料/一轮复习/2026年大一轮复习讲义数学课件讲义练习/基础版/Word版题库/第七章　立体几何与空间向量/第4节　空间直线、平面的平行.docx,MATH,.docx,PENDING,,init,,2026-09-18 01:39:25
2026年新高考资料/一轮复习/2026年大一轮复习讲义数学课件讲义练习/基础版/Word版题库/第七章　立体几何与空间向量/第5节　空间直线、平面的垂直.DOCX,MATH,.docx,PENDING,,init,,2026-09-18 01:39:25
2026年新高考资料/一轮复习/2026年大一轮复习讲义数学课件讲义练习/基础版/Word版题库/第七章　立体几何与空间向量/第6节　空间向量与线面位置关系.docx,MATH,.docx,PENDING,,init,,2026-09-18 01:39:25
2026年新高考资料/一轮复习/2026年大一轮复习讲义数学课件讲义练习/基础版/Word版题库/第七章　立体几何与空间向量/第7节　向量法求空间角.docx,MATH,.docx,PENDING,,init,,2026-09-18 01:39:25
2026年新高考资料/一轮复习/2026年大一轮复习讲义数学课件讲义练习/基础版/Word版题库/第七章　立体几何与空间向量/第8节　空间距离.docx,MATH,.docx,PENDING,,init,,2026-09-18 01:39:25
2026年新高考资料/一轮复习/2026年大一轮复习讲义数学课件讲义练习/基础版/Word版题库/第七章　立体几何与空间向量/第9节　探索性及折叠问题.docx,MATH,.docx,PENDING,,init,,2026-09-18 01:39:25
2026年新高考资料/一轮复习/2026年大一轮复习讲义数学课件讲义练习/基础版/Word版题库/第三章 一元函数的导数及其应用/多选题加练（三）导数及其应用.DOCX,MATH,.docx,PENDING,,init,,2026-09-18 01:39:25
2026年新高考资料/一轮复习/2026年大一轮复习讲义数学课件讲义练习/基础版/Word版题库/第三章 一元函数的导数及其应用/第1节 导数的概念及运算.DOCX,MATH,.docx,PENDING,,init,,2026-09-18 01:39:25
2026年新高考资料/一轮复习/2026年大一轮复习讲义数学课件讲义练习/基础版/Word版题库/第三章 一元函数的导数及其应用/第2节 导数与函数的单调性（一）.DOCX,MATH,.docx,PENDING,,init,,2026-09-18 01:39:25
2026年新高考资料/一轮复习/2026年大一轮复习讲义数学课件讲义练习/基础版/Word版题库/第三章 一元函数的导数及其应用/第3节 导数与函数的单调性（二）.DOCX,MATH,.docx,PENDING,,init,,2026-09-18 01:39:25
2026年新高考资料/一轮复习/2026年大一轮复习讲义数学课件讲义练习/基础版/Word版题库/第三章 一元函数的导数及其应用/第4节 导数与函数的极值.DOCX,MATH,.docx,PENDING,,init,,2026-09-18 01:39:25
2026年新高考资料/一轮复习/2026年大一轮复习讲义数学课件讲义练习/基础版/Word版题库/第三章 一元函数的导数及其应用/第5节 导数与函数的最值.DOCX,MATH,.docx,PENDING,,init,,2026-09-18 01:39:25
2026年新高考资料/一轮复习/2026年大一轮复习讲义数学课件讲义练习/基础版/Word版题库/第三章 一元函数的导数及其应用/高考难点突破系列（一）导数中的综合问题/第一课时 不等式恒（能）成立问题.DOCX,MATH,.docx,PENDING,,init,,2026-09-18 01:39:25
2026年新高考资料/一轮复习/2026年大一轮复习讲义数学课件讲义练习/基础版/Word版题库/第三章 一元函数的导数及其应用/高考难点突破系列（一）导数中的综合问题/第三课时 利用导数研究函数的零点.DOCX,MATH,.docx,PENDING,,init,,2026-09-18 01:39:25
2026年新高考资料/一轮复习/2026年大一轮复习讲义数学课件讲义练习/基础版/Word版题库/第三章 一元函数的导数及其应用/高考难点突破系列（一）导数中的综合问题/第二课时 构造函数证明不等式.DOCX,MATH,.docx,PENDING,,init,,2026-09-18 01:39:25
2026年新高考资料/一轮复习/2026年大一轮复习讲义数学课件讲义练习/基础版/Word版题库/第九章　统计与成对数据的统计分析/多选题加练(九)　统计与成对数据的统计分析.DOCX,MATH,.docx,PENDING,,init,,2026-09-18 01:39:25
2026年新高考资料/一轮复习/2026年大一轮复习讲义数学课件讲义练习/基础版/Word版题库/第九章　统计与成对数据的统计分析/第1节　随机抽样、统计图表.docx,MATH,.docx,PENDING,,init,,2026-09-18 01:39:25
2026年新高考资料/一轮复习/2026年大一轮复习讲义数学课件讲义练习/基础版/Word版题库/第九章　统计与成对数据的统计分析/第2节　用样本估计总体.docx,MATH,.docx,EXTRACTED,"ext-mat-412e7eb94a-001,ext-mat-412e7eb94a-001b,ext-mat-412e7eb94a-001c,ext-mat-412e7eb94a-002",materialize,,2026-09-18 04:00:01
2026年新高考资料/一轮复习/2026年大一轮复习讲义数学课件讲义练习/基础版/Word版题库/第九章　统计与成对数据的统计分析/第3节　成对数据的统计分析.docx,MATH,.docx,PENDING,,init,,2026-09-18 01:39:25
2026年新高考资料/一轮复习/2026年大一轮复习讲义数学课件讲义练习/基础版/Word版题库/第二章 函数/多选题加练（一） 函数性质的综合应用.DOCX,MATH,.docx,PENDING,,init,,2026-09-18 01:39:25
2026年新高考资料/一轮复习/2026年大一轮复习讲义数学课件讲义练习/基础版/Word版题库/第二章 函数/多选题加练（二）基本初等函数及函数的应用.DOCX,MATH,.docx,PENDING,,init,,2026-09-18 01:39:25
2026年新高考资料/一轮复习/2026年大一轮复习讲义数学课件讲义练习/基础版/Word版题库/第二章 函数/第10节 函数的图象.DOCX,MATH,.docx,PENDING,,init,,2026-09-18 01:39:25
2026年新高考资料/一轮复习/2026年大一轮复习讲义数学课件讲义练习/基础版/Word版题库/第二章 函数/第11节 函数与方程.DOCX,MATH,.docx,PENDING,,init,,2026-09-18 01:39:25
2026年新高考资料/一轮复习/2026年大一轮复习讲义数学课件讲义练习/基础版/Word版题库/第二章 函数/第12节 函数模型及其应用.DOCX,MATH,.docx,EXTRACTED,ext-mat-dee9797238-001,materialize,,2026-09-18 19:57:06
2026年新高考资料/一轮复习/2026年大一轮复习讲义数学课件讲义练习/基础版/Word版题库/第二章 函数/第1节 函数的概念及其表示.DOCX,MATH,.docx,PENDING,,init,,2026-09-18 01:39:25
2026年新高考资料/一轮复习/2026年大一轮复习讲义数学课件讲义练习/基础版/Word版题库/第二章 函数/第2节 单调性与最大（小）值（一）.DOCX,MATH,.docx,PENDING,,init,,2026-09-18 01:39:25
2026年新高考资料/一轮复习/2026年大一轮复习讲义数学课件讲义练习/基础版/Word版题库/第二章 函数/第3节 单调性与最大（小）值（二）.DOCX,MATH,.docx,PENDING,,init,,2026-09-18 01:39:25
2026年新高考资料/一轮复习/2026年大一轮复习讲义数学课件讲义练习/基础版/Word版题库/第二章 函数/第4节 函数的奇偶性、周期性.DOCX,MATH,.docx,PENDING,,init,,2026-09-18 01:39:25
